branch_id,date,revenue,operational_cost,profit
16,2024-03-24,106143.5,99135.41,81227.81
31,2024-04-06,668686.33,177566.87,334262.32
50,2024-10-31,748141.43,155850.59,49120.62
9,2024-05-15,409576.72,492302.65,414088.65
3,2024-02-23,764977.93,319212.38,414548.35
29,2024-09-02,910917.48,168068.05,15563.11
55,2024-09-10,128598.65,102795.64,38834.49
9,2024-09-21,740952.37,135202.71,125197.79
6,2024-06-28,556786.21,257718.68,305271.61
34,2024-02-22,436446.94,103331.75,497790.3
50,2024-05-17,113568.59,14890.02,383508.42
44,2024-04-17,405479.26,41860.76,39626.46
2,2024-08-09,448046.94,326082.45,293275.74
73,2024-08-16,28522.53,489785.05,66246.87
93,2024-04-06,77017.74,336503.03,497280.4
93,2024-09-08,946964.11,475554.05,133875.34
67,2024-06-21,444814.74,58213.09,425093.58
27,2024-06-25,535627.58,21064.16,270475.26
12,2024-11-09,504119.66,153570.0,399033.52
47,2024-08-13,13176.65,410468.39,241407.95
77,2024-07-09,360313.9,388960.29,234154.97
10,2024-11-17,228892.47,145010.94,124218.88
67,2024-06-03,795158.83,349235.68,184282.51
69,2024-11-01,636574.24,92635.66,243907.74
48,2024-10-29,314812.61,315266.46,163690.9
37,2024-10-16,938133.16,287030.8,246324.21
47,2024-04-15,14347.77,175095.49,300511.23
32,2024-10-07,777662.36,256123.99,116758.34
67,2024-08-11,958990.06,329117.94,357373.14
3,2024-10-24,588111.09,313209.58,442449.72
47,2024-08-20,185751.36,317972.55,53029.66
52,2024-04-05,699486.62,389774.23,51648.04
84,2024-02-07,7710.92,44961.24,284186.35
21,2024-12-12,962149.06,242712.24,233674.65
70,2024-10-16,846872.5,337762.87,156230.98
63,2024-08-01,351225.23,225758.77,281569.54
33,2024-01-09,818593.85,417504.88,492582.37
34,2024-01-14,110032.47,87003.75,109603.25
52,2024-08-02,138293.18,325134.18,216276.0
4,2024-04-02,631302.36,164785.7,426446.49
37,2024-03-19,620033.28,326972.81,423387.31
45,2024-08-25,723581.01,81476.34,224029.98
32,2024-01-28,580879.25,454332.42,434107.08
100,2024-10-29,373916.43,100158.07,195628.22
7,2024-07-23,458266.8,450485.54,258716.15
7,2024-02-25,398987.11,264935.56,27651.96
99,2024-10-13,489116.0,459611.16,398564.35
12,2024-06-05,48249.56,184185.95,88347.12
39,2024-05-27,376198.31,248920.84,287598.55
6,2024-01-16,423413.11,198903.81,147813.11
29,2024-09-03,788252.87,298213.44,29675.25
54,2024-08-10,430722.74,292505.05,108417.15
65,2024-06-07,845563.04,64556.75,299888.85
82,2024-05-19,435687.74,310884.17,459555.65
92,2024-01-01,153361.67,494076.59,380150.4
26,2024-04-05,500366.29,143364.73,52171.93
99,2024-02-18,137828.3,209279.4,26505.52
90,2024-07-26,224481.19,492896.64,438159.26
82,2024-04-11,983924.17,85883.5,446695.6
92,2024-05-24,944698.96,325596.46,430596.63
76,2024-07-19,860086.75,338546.55,291159.88
77,2024-04-13,341605.66,496803.94,156115.49
85,2024-11-01,285007.99,114450.72,255490.87
46,2024-11-28,873401.1,241500.35,129835.91
66,2024-07-28,174003.96,286476.91,39641.46
64,2024-07-23,746598.15,74221.36,230965.95
90,2024-08-13,157469.27,305340.18,28413.83
30,2024-05-26,852516.64,212553.65,416921.22
68,2024-03-02,842844.59,62208.78,65269.97
18,2024-04-26,724482.18,158906.95,244979.74
70,2024-07-05,871247.6,495157.05,473055.48
78,2024-10-16,535632.1,112211.27,380048.28
46,2024-10-11,436869.44,401803.73,465510.33
43,2024-08-23,313201.83,43294.71,289995.3
45,2024-09-26,66987.71,91931.04,96422.44
30,2024-09-19,467649.45,396740.74,225053.08
89,2024-06-07,918312.32,393667.72,235828.31
81,2024-05-25,97047.84,498010.05,162431.36
27,2024-04-23,698856.59,92403.84,414284.07
45,2024-01-13,522022.12,175267.11,274281.58
29,2024-09-27,68689.74,183476.54,400147.37
35,2024-01-19,651397.37,327337.91,440981.84
49,2024-03-29,48669.4,285042.79,162502.55
34,2024-02-12,248144.73,364999.27,268814.59
97,2024-03-07,661978.11,224453.33,120739.66
99,2024-03-20,358511.85,480559.29,252720.42
87,2024-11-09,141731.78,143201.75,253856.33
50,2024-01-01,23972.64,246289.11,416254.5
56,2024-05-26,516073.16,305793.96,339014.25
53,2024-10-18,850861.54,211478.18,257259.54
77,2024-01-14,349086.02,336245.84,351137.15
18,2024-05-06,558920.23,42125.4,8983.93
36,2024-07-18,390520.75,150415.19,6585.55
14,2024-04-14,421626.03,418528.73,353171.46
48,2024-09-06,566155.98,150198.18,119823.43
35,2024-06-05,656583.11,118833.11,270822.99
53,2024-09-02,989761.28,419500.08,181861.81
87,2024-03-05,183146.27,274083.11,130475.84
5,2024-10-19,544539.04,448204.26,178231.75
5,2024-11-02,272886.73,469276.53,129917.81
88,2024-04-02,803050.44,355695.18,76241.03
52,2024-07-12,760282.53,198507.94,478500.02
79,2024-12-08,440032.13,386894.68,228781.36
42,2024-05-18,135516.46,311603.2,385843.82
86,2024-07-14,431102.63,395684.4,180096.04
46,2024-09-29,416785.94,26868.41,334583.07
30,2024-04-23,398159.71,102153.11,309194.38
51,2024-01-13,848832.01,472162.84,427320.26
99,2024-09-20,926565.85,341363.41,178583.95
11,2024-03-18,802826.47,232627.63,84626.11
59,2024-09-19,714820.2,326554.82,434141.51
18,2024-10-04,776228.94,273514.62,123624.44
14,2024-06-09,604880.3,177580.31,386445.14
18,2024-10-21,975796.51,260212.5,386746.16
69,2024-10-10,419607.92,477345.07,67879.14
20,2024-10-17,122132.38,315486.32,30337.6
93,2024-08-06,884017.98,473691.98,197029.95
29,2024-02-05,440232.86,177315.28,396475.66
56,2024-08-10,736543.19,39155.67,272406.22
33,2024-07-23,974433.82,13737.1,492557.85
31,2024-08-22,201432.67,61424.33,392430.04
30,2024-05-05,595548.42,499468.37,334797.57
56,2024-12-01,749378.22,273092.74,99762.16
90,2024-09-28,948078.11,7441.17,349679.71
81,2024-10-23,354438.31,461151.64,64356.35
12,2024-10-19,274488.5,394428.97,172122.31
65,2024-04-18,479725.49,7562.03,351504.81
79,2024-05-18,410040.84,31068.31,74909.34
9,2024-01-07,454766.34,279545.21,29446.85
41,2024-10-29,685739.11,275777.9,432158.43
6,2024-07-17,637586.58,336201.33,300238.94
64,2024-04-11,233130.3,318810.52,445026.52
4,2024-05-02,156332.96,428328.2,65487.43
66,2024-09-10,515188.19,226958.87,8614.92
82,2024-04-17,705270.75,413860.38,346117.88
85,2024-11-18,860882.01,491304.93,288689.5
93,2024-08-15,731192.54,332236.02,12549.53
55,2024-01-12,940641.46,310749.42,32664.9
48,2024-09-16,348204.63,287726.87,284561.48
83,2024-04-09,554471.8,460641.44,179288.64
66,2024-04-16,836066.46,273392.32,223138.26
8,2024-08-17,733713.92,197491.03,275556.1
28,2024-02-12,723248.14,104771.09,70133.31
91,2024-04-26,374759.91,415111.44,159732.19
95,2024-01-05,709825.47,52955.01,103623.85
47,2024-01-29,831892.18,305796.65,155721.5
70,2024-12-02,71472.14,69814.92,114642.76
53,2024-02-19,121612.52,115341.62,174932.9
30,2024-03-14,697133.66,198259.52,319099.73
42,2024-07-23,116601.7,244658.39,101378.64
13,2024-09-17,105557.16,64460.08,314284.99
11,2024-05-20,10004.85,492920.84,226159.41
48,2024-03-07,861767.3,124438.08,319143.73
73,2024-11-16,526329.84,306154.42,437665.83
52,2024-02-05,861758.49,253560.07,491009.16
92,2024-01-29,688524.47,132828.95,96679.94
60,2024-08-04,650087.82,71478.85,239867.21
32,2024-09-20,91377.48,114157.32,381153.43
32,2024-06-29,239069.91,243393.86,323031.04
76,2024-09-15,395513.49,57409.96,183555.66
5,2024-03-15,462505.19,441833.37,5362.65
24,2024-06-25,731056.03,392937.47,484105.54
68,2024-05-03,979964.31,379113.91,85371.94
6,2024-10-10,789965.4,330321.48,279175.65
71,2024-07-22,239326.95,496508.66,349892.32
56,2024-04-27,726520.59,168480.53,368041.8
87,2024-10-29,877254.42,490679.09,274787.08
32,2024-09-27,636550.45,143309.66,336185.79
32,2024-02-01,972042.82,127710.61,119577.84
62,2024-09-01,376802.33,365357.96,271180.49
69,2024-01-27,585882.95,151960.05,343924.94
34,2024-02-06,145361.36,281344.29,302357.12
93,2024-08-28,63188.59,278570.98,326014.45
38,2024-09-14,97831.34,206182.22,279575.68
42,2024-09-07,97766.35,272477.65,195165.42
8,2024-09-17,409317.84,77630.08,198095.87
60,2024-11-22,412047.98,319652.67,114809.95
41,2024-02-21,358262.74,84636.64,415857.24
35,2024-09-02,470202.13,272977.97,106683.46
21,2024-09-01,748080.46,426901.63,482073.02
62,2024-05-01,279173.78,315400.73,260673.06
64,2024-04-21,123303.27,492184.58,498163.58
86,2024-08-03,461691.66,389955.23,464573.19
73,2024-03-02,952765.61,193013.37,84049.76
47,2024-08-28,45539.13,336417.25,187888.82
20,2024-06-11,974337.64,370857.45,399088.77
83,2024-05-03,488659.88,85130.65,153676.76
55,2024-08-20,52904.63,231238.95,156259.42
16,2024-06-17,73399.69,372736.81,78160.5
89,2024-06-22,808285.07,496600.65,31888.37
47,2024-03-10,337792.03,275066.88,177616.45
61,2024-04-11,993661.29,442662.0,149055.0
7,2024-05-23,660984.94,17247.99,181549.58
88,2024-07-12,281648.74,397470.72,51968.51
100,2024-08-15,88766.62,270739.9,26197.14
79,2024-08-09,547585.69,333616.67,365311.18
8,2024-01-01,841421.33,214590.23,162664.44
90,2024-12-10,704612.51,348562.15,333888.08
97,2024-08-09,498720.01,11278.6,84039.27
59,2024-02-21,653299.25,54549.25,237321.1
29,2024-04-08,370478.79,107454.49,86005.66
63,2024-05-17,188175.74,122470.43,24353.68
8,2024-01-26,310829.8,452546.84,8669.59
60,2024-09-01,403338.39,217739.57,444524.02
98,2024-03-14,120860.18,156246.25,345949.22
33,2024-03-21,393564.74,172004.76,440441.3
80,2024-04-06,564530.55,457651.94,323723.03
46,2024-07-09,438452.74,174615.64,195409.14
63,2024-01-16,165684.57,341922.25,283916.09
53,2024-03-02,79839.16,67005.99,46368.52
42,2024-09-12,978419.78,136935.92,215512.93
68,2024-07-16,462765.68,390477.42,53725.16
78,2024-02-18,962745.97,233647.54,323217.35
38,2024-02-01,103405.16,254805.64,188942.61
36,2024-12-06,75899.49,135025.47,243787.46
31,2024-04-28,52678.45,267454.94,125601.85
80,2024-04-02,218469.32,86037.47,436098.36
4,2024-01-17,429155.14,138299.41,106670.72
70,2024-04-09,191604.69,298817.93,43220.3
84,2024-06-28,585068.66,496841.11,61242.51
90,2024-09-02,731302.03,489099.06,468555.42
20,2024-09-22,644436.29,119770.5,238395.01
79,2024-06-22,461779.41,270242.51,422100.03
30,2024-02-18,845312.4,382156.71,402089.84
15,2024-06-11,738321.29,464717.33,182005.58
55,2024-01-30,826653.29,354639.22,39745.91
40,2024-01-31,663262.28,454872.15,259792.95
82,2024-07-01,482327.36,193052.74,47998.25
79,2024-10-29,754854.47,322921.92,317459.39
3,2024-10-10,680394.95,278570.83,124908.93
71,2024-04-30,508494.15,91062.23,407758.35
17,2024-03-01,864016.31,470729.46,43730.93
48,2024-03-17,170068.14,437637.95,191381.4
64,2024-02-08,546596.39,203814.34,40622.13
96,2024-07-24,377102.76,156935.84,120435.64
50,2024-07-19,597035.71,55819.63,404003.51
37,2024-03-01,598266.83,278720.21,261468.78
4,2024-03-14,362274.52,62041.3,99109.79
33,2024-11-06,894876.84,203689.13,131046.97
58,2024-11-16,659219.41,220703.93,181948.4
76,2024-03-09,834690.73,51823.29,388026.1
74,2024-10-28,193224.83,442964.37,181340.34
80,2024-04-14,645918.98,406873.21,46926.19
72,2024-07-12,759394.31,432875.33,108583.69
20,2024-08-30,709596.7,210572.14,350589.05
50,2024-01-26,145884.18,436105.37,305703.57
58,2024-09-04,620184.44,301606.08,275121.86
3,2024-04-20,990553.12,468589.2,415619.53
44,2024-02-21,354730.44,391969.53,293497.72
59,2024-08-19,575435.24,62546.52,99012.57
32,2024-11-23,449784.17,88982.23,186857.3
57,2024-03-30,396448.49,476229.5,16391.38
29,2024-01-17,592770.99,398320.42,204967.61
37,2024-11-06,431525.72,130708.4,350562.62
54,2024-02-12,293823.85,103119.22,230164.27
19,2024-05-31,79706.27,251815.79,440875.53
13,2024-02-21,98609.89,162335.95,186935.92
80,2024-05-29,712337.95,192263.45,143987.71
46,2024-02-05,758855.18,48215.75,31517.37
70,2024-07-24,889314.09,386609.05,276886.01
94,2024-04-29,119858.61,186864.26,444862.74
27,2024-08-08,10819.98,463740.75,392338.04
74,2024-05-05,30879.03,201789.78,373865.36
45,2024-11-20,192514.16,317883.5,141868.52
30,2024-07-05,605151.91,440075.79,321305.84
38,2024-03-16,524728.91,202860.3,112435.44
9,2024-07-31,48956.64,20978.81,415575.9
77,2024-10-21,8033.29,254235.41,180915.08
6,2024-08-20,859924.97,291191.12,379757.53
63,2024-06-11,394931.43,492246.67,3207.46
3,2024-05-17,276433.02,268190.01,251845.47
73,2024-02-23,379002.0,405128.64,20910.83
33,2024-01-12,69257.38,391340.95,186440.81
70,2024-05-25,308490.13,199510.92,46503.32
61,2024-11-17,284039.51,447910.62,432675.71
51,2024-09-02,153142.23,336826.93,18661.67
66,2024-03-16,405890.38,297066.2,41115.03
68,2024-10-06,713519.86,161888.6,430351.26
50,2024-09-25,806783.35,255293.18,119637.98
21,2024-10-04,473467.37,250267.62,251485.38
43,2024-06-10,913691.69,54478.68,417213.8
95,2024-02-10,661175.99,213606.21,354524.96
23,2024-06-24,570695.25,289685.89,209656.93
35,2024-05-28,850266.43,477096.07,249603.56
6,2024-09-11,916310.94,305959.48,258398.96
54,2024-05-21,383830.22,219215.36,336738.27
16,2024-01-25,448642.78,330106.78,147082.41
48,2024-07-13,13319.1,405431.14,152359.65
44,2024-09-06,629433.98,32670.01,246106.99
32,2024-12-10,56958.1,224621.54,426839.26
21,2024-01-08,374767.83,346598.17,232842.2
59,2024-07-24,281503.41,288407.45,406949.17
47,2024-02-17,572977.98,208042.41,424364.96
66,2024-05-16,31981.76,411840.39,46976.03
41,2024-08-21,178523.98,398928.42,272956.53
86,2024-11-26,994133.15,305745.59,180986.23
45,2024-05-05,923741.26,197615.7,307697.07
6,2024-07-03,596259.67,434202.4,479572.91
20,2024-05-23,694163.93,349128.29,430962.51
97,2024-11-29,522422.12,303104.81,182945.76
37,2024-11-09,981521.89,407210.52,436530.96
61,2024-04-28,159646.92,27482.03,370800.5
83,2024-06-07,23002.73,52004.66,376516.21
94,2024-12-11,933906.68,250711.07,52385.01
75,2024-11-26,724406.38,391388.59,493797.87
56,2024-11-07,68682.15,223328.18,393394.9
51,2024-02-02,776263.84,269040.84,255458.19
12,2024-11-21,666282.14,427421.62,17150.91
66,2024-07-27,468873.42,430655.4,327804.47
56,2024-06-08,325152.85,58962.97,463291.14
53,2024-11-02,150914.75,60179.92,410938.0
51,2024-04-29,117881.43,249135.98,321261.26
53,2024-01-03,77516.1,167503.47,418889.29
23,2024-08-13,677362.15,143446.76,245600.99
73,2024-10-30,186855.49,298313.7,190705.37
2,2024-04-13,501496.31,34321.03,275418.56
87,2024-12-08,821416.92,167195.6,359423.48
11,2024-10-31,321583.92,480124.7,31910.38
61,2024-10-03,212253.19,124593.96,99518.85
32,2024-09-01,95803.17,485192.66,308299.51
60,2024-04-20,422978.06,307729.29,182930.68
30,2024-08-26,559207.73,332364.05,289585.02
17,2024-05-09,833235.88,379277.45,164541.52
97,2024-07-13,507959.83,419874.07,67025.38
17,2024-03-24,903931.48,383525.33,61816.46
32,2024-11-23,501284.19,446344.01,322861.86
59,2024-12-10,248954.67,103761.63,393835.24
59,2024-09-10,495985.59,489772.7,207181.08
15,2024-03-12,900407.32,490448.73,27634.31
86,2024-01-08,49453.5,395997.38,117471.23
42,2024-12-12,302537.81,369623.63,397107.06
49,2024-08-30,449345.17,68794.32,478818.63
96,2024-07-03,990988.09,35002.28,298783.3
25,2024-09-22,424968.97,57635.67,490516.28
2,2024-07-02,88314.25,20252.36,27070.39
50,2024-03-24,700558.03,326575.42,298682.31
33,2024-03-29,654730.19,218853.12,322000.44
23,2024-03-27,477367.32,390481.74,73410.37
51,2024-08-19,935322.68,358022.21,372577.68
40,2024-02-01,735706.21,388893.11,18876.5
99,2024-03-29,466960.46,4953.93,4864.89
12,2024-10-16,467969.87,473555.7,212805.86
23,2024-02-28,154532.26,119293.86,199915.48
8,2024-04-05,664686.06,428206.52,382187.33
15,2024-02-07,894070.82,302295.1,275917.37
76,2024-10-19,680816.59,70104.6,130695.67
65,2024-12-02,716086.31,105441.86,186786.42
28,2024-11-26,496012.72,436928.22,236439.03
52,2024-09-18,291253.35,27032.77,378338.42
36,2024-11-09,356569.92,352080.23,473081.02
72,2024-08-05,267026.63,431114.5,338843.11
70,2024-03-08,864404.25,34498.02,435664.77
48,2024-05-17,295734.97,258177.09,306923.59
44,2024-06-09,29816.57,226839.46,62038.36
54,2024-03-13,459174.05,495948.33,194098.05
85,2024-07-12,725543.94,36344.86,222700.45
58,2024-12-12,233009.9,309893.05,380524.46
69,2024-07-03,84908.13,381316.94,18132.25
18,2024-07-02,701534.25,65820.82,117559.75
85,2024-03-16,354965.7,128287.35,93087.36
89,2024-02-13,659553.82,332999.96,337516.11
31,2024-09-03,683993.81,64318.26,220707.51
93,2024-03-30,858442.15,469461.49,299535.35
84,2024-10-11,648924.1,192471.59,379792.29
17,2024-04-12,928967.3,231341.8,87972.02
3,2024-07-05,360137.4,444806.56,208089.15
63,2024-05-10,232319.93,145990.63,376279.74
96,2024-02-05,21559.66,436166.45,77824.7
13,2024-07-08,674169.41,3652.06,260966.03
86,2024-06-19,888457.22,361101.6,61227.7
9,2024-12-13,26622.19,363123.98,114628.64
81,2024-05-20,714463.6,283775.47,498251.24
74,2024-12-03,917247.76,90948.27,372435.94
73,2024-07-22,812564.35,430732.12,70538.24
19,2024-07-23,781359.98,150688.18,81229.21
48,2024-08-01,285399.92,266976.07,28477.96
50,2024-07-19,47686.67,498463.63,445928.02
38,2024-11-05,904229.46,59947.57,393713.24
35,2024-11-23,214238.05,216929.73,327735.29
29,2024-10-11,520597.5,102976.46,211197.26
57,2024-10-25,642738.4,99410.87,78407.4
99,2024-11-30,998505.4,309784.6,300242.75
88,2024-10-13,335113.23,355105.94,176211.42
49,2024-08-15,711553.71,480833.7,458069.94
83,2024-10-30,741474.08,24880.35,45590.5
29,2024-03-29,168960.35,325171.06,279664.78
12,2024-01-04,661082.69,228099.99,314702.52
35,2024-02-08,406362.14,47365.55,430095.4
22,2024-03-03,370556.89,163095.88,170410.52
91,2024-03-24,535624.01,114019.34,188314.86
24,2024-09-07,25145.11,402381.46,165867.49
97,2024-02-15,530734.77,228696.41,251869.84
23,2024-07-01,820262.82,315011.64,34989.05
49,2024-12-04,122652.76,295107.42,456150.33
56,2024-01-18,986171.38,299513.9,278749.24
67,2024-08-17,723737.21,468239.7,296432.39
91,2024-06-13,354613.94,146402.38,86307.27
31,2024-05-30,515494.21,232307.42,482834.94
84,2024-09-01,203864.02,220991.88,222931.6
98,2024-11-29,856914.06,131631.39,201622.34
68,2024-07-13,470690.43,435380.28,134715.62
60,2024-06-25,343661.02,223456.95,161661.71
12,2024-08-30,358599.11,242773.96,384326.11
19,2024-04-20,191395.91,126242.5,474156.93
57,2024-05-29,700365.3,426523.71,46854.64
73,2024-05-25,288950.14,444844.65,108413.58
74,2024-09-25,151542.03,224817.79,205594.48
58,2024-04-16,10215.96,6415.23,404850.4
13,2024-01-06,352634.53,201981.89,326274.39
70,2024-09-17,768381.34,242648.79,181716.0
69,2024-03-22,73781.03,18471.95,230143.04
18,2024-02-16,579603.22,400429.84,342754.73
64,2024-07-24,596321.87,229421.88,284547.74
1,2024-10-25,844438.82,344424.02,124629.2
16,2024-02-27,736550.27,469537.09,430159.6
48,2024-07-11,891584.98,493289.0,339527.38
22,2024-02-17,103082.85,45314.88,365090.04
52,2024-11-23,325788.93,246248.42,458213.28
65,2024-06-05,160062.48,392604.27,235401.58
79,2024-01-08,422202.89,178170.67,185013.67
64,2024-11-23,535448.04,234299.29,421971.09
38,2024-02-02,346293.63,264062.78,246673.55
37,2024-08-27,235150.98,424464.53,470175.34
92,2024-04-09,978800.21,409972.88,160353.09
42,2024-07-20,972012.77,486581.27,331323.26
34,2024-08-27,355452.67,496029.62,108508.08
24,2024-02-06,316548.43,34772.17,316385.43
20,2024-05-12,963069.68,377477.74,92074.34
85,2024-08-19,189733.76,355258.36,10742.27
97,2024-05-31,854921.26,174677.03,179836.12
12,2024-12-01,765371.97,426030.13,225377.36
59,2024-11-10,262466.86,339783.3,471223.73
71,2024-05-05,512545.27,41932.53,126975.17
71,2024-08-20,838290.74,466476.89,108457.26
21,2024-05-04,797405.99,484875.44,12444.13
31,2024-08-28,352729.36,368638.02,207036.44
85,2024-10-27,178522.94,491102.22,477059.94
26,2024-10-17,445469.38,382694.34,441066.07
98,2024-01-02,322703.44,346578.65,438299.22
51,2024-04-30,362044.12,162505.72,281868.88
80,2024-06-21,565910.3,82683.19,98167.88
17,2024-08-11,836091.01,259518.16,110923.96
74,2024-02-06,226172.45,471379.8,228184.15
65,2024-05-29,942462.95,16151.29,143329.24
16,2024-03-04,831864.3,17027.67,106725.7
27,2024-08-03,13454.67,151749.17,68688.06
29,2024-03-30,921836.12,183390.13,310090.35
73,2024-04-16,325413.72,487460.83,357981.11
11,2024-10-09,513726.18,28698.97,430585.42
100,2024-06-12,923422.23,395441.12,341096.86
22,2024-11-23,898747.47,484736.03,195928.01
51,2024-01-13,620175.0,210665.35,408113.6
57,2024-11-05,728722.04,84248.17,150576.8
46,2024-08-09,798281.61,5232.12,488063.64
86,2024-08-16,520447.68,129720.35,36521.97
48,2024-04-09,964107.54,315269.18,62557.85
25,2024-03-03,959153.82,45910.9,93278.24
99,2024-08-26,661683.81,295484.75,317890.77
42,2024-03-09,623174.59,328372.57,482914.15
66,2024-07-15,138051.19,396688.31,66986.4
