client_id,total_loan_amount,average_loan_amount
9543,45365.29,45365.29
9558,450512.79,450512.79
9569,371140.66,371140.66
9593,220816.42,220816.42
9616,487942.05,487942.05
9697,101378.34,101378.34
9704,81485.38,81485.38
9716,414736.87,414736.87
9730,172353.0,172353.0
9734,365550.52,365550.52
9771,333729.31,333729.31
9793,46719.39,46719.39
9802,384664.53,384664.53
9826,105902.17,105902.17
9916,140937.05,140937.05
9926,371774.48,371774.48
9933,74487.59,74487.59
9967,234009.73,234009.73
9969,3647.02,3647.02
10013,498653.83,498653.83
10032,26131.6,26131.6
10047,62814.03,62814.03
10057,454620.62,454620.62
10102,402319.08,402319.08
10116,59163.11,59163.11
10133,201667.75,201667.75
10158,96567.57,96567.57
10159,41929.29,41929.29
10179,223828.64,223828.64
10190,194887.39,194887.39
10195,153271.15,153271.15
10204,43256.88,43256.88
10205,262729.86,262729.86
10274,372403.87,372403.87
10320,169749.39,169749.39
10323,44946.85,44946.85
10331,129284.95,129284.95
10346,194768.59,194768.59
10347,29211.71,29211.71
10348,129163.86,129163.86
10378,481452.34,481452.34
10413,107035.6,107035.6
10435,191146.77,191146.77
10440,97256.58,97256.58
10445,344471.95,344471.95
10449,401785.93,401785.93
10458,50206.7,50206.7
10474,14850.87,14850.87
10504,6888.19,6888.19
10506,397842.47,397842.47
10511,263527.62,263527.62
10546,365192.8,365192.8
10605,227776.67,227776.67
10636,35850.3,35850.3
10670,378088.1,378088.1
10677,339646.82,339646.82
10692,401756.27,401756.27
10706,113697.55,113697.55
10736,167324.11,167324.11
10806,178567.2,178567.2
10887,279530.23,279530.23
10897,107418.14,107418.14
10904,317479.81,317479.81
10939,397362.13,397362.13
10977,430492.11,430492.11
10984,141608.04,141608.04
11025,88300.51,88300.51
11075,418832.92,418832.92
11080,7059.94,7059.94
11082,7007.47,7007.47
11101,474136.84,474136.84
11103,288736.6,288736.6
11109,87345.32,87345.32
11166,310217.0,310217.0
11174,463626.02,463626.02
11203,481626.45,481626.45
11211,423311.94,423311.94
11214,63941.98,63941.98
11223,27630.49,27630.49
11227,74501.33,74501.33
11241,109452.46,109452.46
11249,415672.43,415672.43
11260,116349.9,116349.9
11261,494054.92,494054.92
11283,333638.75,333638.75
11304,444082.96,444082.96
11309,160376.81,160376.81
11359,320296.04,320296.04
11394,441961.91,441961.91
11424,315107.97,315107.97
11425,303351.07,303351.07
11446,191582.96,191582.96
11447,429469.85,429469.85
11462,376334.39,376334.39
11464,369495.77,369495.77
11505,73240.75,73240.75
11510,237728.26,237728.26
11542,384762.25,384762.25
11555,59180.01,59180.01
11603,460360.0,460360.0
11615,93012.33,93012.33
11635,442592.28,442592.28
11665,258944.01,258944.01
11737,321492.96,321492.96
11748,99126.7,99126.7
11764,272656.0,272656.0
11765,135239.78,135239.78
11801,474945.32,474945.32
11821,253155.38,253155.38
11843,121546.75,121546.75
11844,423869.27,423869.27
11881,319813.17,319813.17
11890,167873.2,167873.2
11898,131317.32,131317.32
11910,77574.09,77574.09
11917,125863.72,125863.72
11943,419701.59,419701.59
11950,443324.58,443324.58
11952,334218.61,334218.61
11973,397178.68,397178.68
12050,263834.86,263834.86
12051,266647.18,266647.18
12053,394597.49,394597.49
12106,332926.02,332926.02
12139,359333.19,359333.19
12150,14027.86,14027.86
12176,369896.42,369896.42
12187,22017.19,22017.19
12212,52948.14,52948.14
12250,251212.29,251212.29
12266,465209.83,465209.83
12271,378334.74,378334.74
12288,28734.88,28734.88
12320,454036.04,454036.04
12336,37818.93,37818.93
12429,423394.46,423394.46
12450,71578.4,71578.4
12488,293768.6,293768.6
12528,177090.38,177090.38
12543,11833.76,11833.76
12597,90138.8,90138.8
12622,277846.96,277846.96
12650,144368.56,144368.56
12680,704275.0,352137.5
12714,331265.03,331265.03
12720,477200.5,477200.5
12734,13619.67,13619.67
12794,416776.04,416776.04
12796,328472.04,328472.04
12805,251581.21,251581.21
12851,464884.08,464884.08
12887,303817.29,303817.29
12888,149405.61,149405.61
12894,329399.69,329399.69
12927,25453.21,25453.21
12932,483705.96,483705.96
12964,141213.92,141213.92
12975,77362.6,77362.6
12980,9429.24,9429.24
12993,133039.74,133039.74
12997,482723.88,482723.88
13007,357428.07,357428.07
13010,480601.52,480601.52
13045,193752.78,193752.78
13047,123988.62,123988.62
13049,335551.39,335551.39
13071,89228.45,89228.45
13081,459126.0,459126.0
13101,238983.53,238983.53
13112,320379.39,320379.39
13150,225535.82,225535.82
13185,456384.62,456384.62
13197,381528.37,381528.37
13212,167123.88,167123.88
13223,401642.28,401642.28
13228,181357.77,181357.77
13235,407396.68,407396.68
13239,142105.82,142105.82
13242,137020.99,137020.99
13280,323322.73,323322.73
13308,397339.22,397339.22
13316,318545.61,318545.61
13326,231911.91,231911.91
13346,311969.91,311969.91
13368,430199.33,430199.33
13392,459033.95,459033.95
13399,22938.16,22938.16
13425,21154.24,21154.24
13457,485394.28,485394.28
13485,423115.61,423115.61
13521,416945.57,416945.57
13599,177262.08,177262.08
13608,424437.63,424437.63
13677,460964.4,460964.4
13713,18569.18,18569.18
13717,16409.21,16409.21
13720,396350.47,396350.47
13805,108873.1,108873.1
13873,278355.63,278355.63
13881,198076.36,198076.36
13902,444719.86,444719.86
13912,277544.42,277544.42
13930,462313.31,462313.31
13954,81625.34,81625.34
13962,302877.32,302877.32
13979,428574.32,428574.32
13995,382942.97,382942.97
14006,329483.88,329483.88
14016,487484.48,487484.48
14020,37053.77,37053.77
14022,182999.75,182999.75
14039,390911.54,390911.54
14055,443028.28,443028.28
14117,487185.6,487185.6
14129,402207.97,402207.97
14214,30646.0,30646.0
14217,368131.34,368131.34
14231,489735.99,489735.99
14252,442751.31,442751.31
14268,194533.41,194533.41
14293,133258.09,133258.09
14304,42763.77,42763.77
14361,268196.01,268196.01
14428,230372.93,230372.93
14474,29801.14,29801.14
14487,175810.83,175810.83
14501,258692.43,258692.43
14506,20824.14,20824.14
14521,409433.03,409433.03
14546,319452.12,319452.12
14558,299508.61,299508.61
14580,386718.55,386718.55
14583,444037.39,444037.39
14599,197206.59,197206.59
14623,245309.92,245309.92
14633,398607.55,398607.55
14674,337194.48,337194.48
14679,83164.04,83164.04
14681,402423.27,402423.27
14711,49224.94,49224.94
14720,406843.05,406843.05
14725,75625.09,75625.09
14734,279602.47,279602.47
14763,32113.11,32113.11
14767,42197.08,42197.08
14784,199707.3,199707.3
14786,208389.78,208389.78
14794,215007.96,215007.96
14796,465523.46,465523.46
14797,182048.35,182048.35
14830,294036.34,294036.34
14839,163052.63,163052.63
14851,394231.42,394231.42
14855,274114.8,274114.8
14859,249598.89,249598.89
14901,151140.66,151140.66
14902,333425.82,333425.82
14909,258883.07,258883.07
14910,468553.3,468553.3
14921,100019.26,100019.26
14991,185919.46,185919.46
15001,182888.34,182888.34
15013,63492.46,63492.46
15021,208688.47,208688.47
15037,352717.18,352717.18
15052,273682.5,273682.5
15092,414377.92,414377.92
15137,384019.28,384019.28
15138,427692.85,427692.85
15147,478421.81,478421.81
15154,186019.31,186019.31
15201,261161.53,261161.53
15261,272001.75,272001.75
15265,43198.28,43198.28
15272,294965.28,294965.28
15296,392668.03,392668.03
15305,372283.19,372283.19
15343,475852.98,475852.98
15345,148283.44,148283.44
15348,260316.24,260316.24
15358,46001.05,46001.05
15375,99650.1,99650.1
15390,59318.64,59318.64
15393,10313.88,10313.88
15400,387670.03,387670.03
15407,268312.53,268312.53
15454,61483.37,61483.37
15473,277696.79,277696.79
15505,43139.94,43139.94
15612,86439.96,86439.96
15659,114864.94,114864.94
15663,282971.16,282971.16
15681,186478.16,186478.16
15711,366561.11,366561.11
15712,94494.73,94494.73
15725,13294.89,13294.89
15753,129164.1,129164.1
15760,88481.36,88481.36
15767,458824.51,458824.51
15776,42334.32,42334.32
15804,336920.88,336920.88
15813,153186.66,153186.66
15843,99399.76,99399.76
15854,397390.2,397390.2
15873,335086.83,335086.83
15905,414501.67,414501.67
15919,124757.7,124757.7
15921,247098.87,247098.87
15934,452653.97,452653.97
15961,269412.87,134706.435
15969,183612.16,183612.16
15972,188223.58,188223.58
15978,380079.64,380079.64
15984,166186.49,166186.49
15993,406747.01,406747.01
16013,435607.51,435607.51
16026,209275.84,209275.84
16095,218955.2,218955.2
16108,180844.81,180844.81
16169,117992.39,117992.39
16201,142799.92,142799.92
16219,154894.51,154894.51
16226,117208.04,117208.04
16229,243260.7,243260.7
16268,322983.33,322983.33
16286,44626.59,44626.59
16305,283256.52,283256.52
16340,421972.55,421972.55
16346,43013.87,43013.87
16363,51575.24,51575.24
16364,234086.34,234086.34
16382,196417.47,196417.47
16400,43406.61,43406.61
16401,29633.06,29633.06
16405,266819.09,266819.09
16409,254863.23,254863.23
16470,160282.11,160282.11
16523,451191.51,451191.51
16530,447656.98,447656.98
16582,144687.44,144687.44
16584,212276.14,212276.14
16594,357881.79,357881.79
16601,461479.94,461479.94
16607,302377.67,302377.67
16626,355720.11,355720.11
16648,123106.98,123106.98
16650,484140.93,484140.93
16664,252448.13,252448.13
16700,181650.79,181650.79
16704,29975.29,29975.29
16733,431379.52,431379.52
16740,245907.62,245907.62
16767,481107.53,481107.53
16771,220460.3,220460.3
16774,189007.27,189007.27
16795,60339.96,60339.96
16809,359883.39,359883.39
16819,70457.05,70457.05
16820,340953.29,340953.29
16824,55792.93,55792.93
16830,402864.6,402864.6
16872,152329.78,152329.78
16888,78725.11,78725.11
16911,310985.63,310985.63
16917,39844.6,39844.6
16921,69981.65,69981.65
16963,444843.57,444843.57
16982,239314.25,239314.25
17006,123393.02,123393.02
17009,140988.48,140988.48
17035,425216.93,425216.93
17045,200105.06,200105.06
17071,376832.16,376832.16
17089,213599.48,213599.48
17116,467491.51,467491.51
17134,109319.85,109319.85
17153,217281.88,217281.88
17191,422919.96,422919.96
17200,478901.94,478901.94
17201,392726.42,392726.42
17213,655092.12,327546.06
17253,60275.4,60275.4
17271,358308.17,358308.17
17277,58771.72,58771.72
17317,431766.8,431766.8
17338,55533.4,55533.4
17339,141361.14,141361.14
17354,216002.62,216002.62
17388,153392.5,153392.5
17415,459754.32,459754.32
17422,81287.74,81287.74
17480,271145.73,271145.73
17500,90957.82,90957.82
17505,274191.35,274191.35
17522,427464.67,427464.67
17603,241234.67,241234.67
17670,75234.1,75234.1
17683,327947.0,327947.0
17742,37142.73,37142.73
17770,259792.07,259792.07
17801,339260.86,339260.86
17806,174536.06,174536.06
17811,390275.78,390275.78
17813,11873.6,11873.6
17843,452025.31,452025.31
17847,421400.21,421400.21
17874,22355.48,22355.48
17888,241387.12,241387.12
17899,71936.96,71936.96
17910,455464.01,455464.01
17923,58155.99,58155.99
17939,244142.29,244142.29
17956,146180.09,146180.09
17964,243325.78,243325.78
17969,177500.39,177500.39
17988,168047.74,168047.74
18005,116896.33,116896.33
18013,33971.5,33971.5
18016,411334.02,411334.02
18030,150242.18,150242.18
18050,70684.27,70684.27
18057,67275.26,67275.26
18076,325710.61,325710.61
18116,414557.33,414557.33
18172,190171.37,190171.37
18199,466847.89,466847.89
18226,200487.44,200487.44
18236,336102.77,336102.77
18248,113919.84,113919.84
18255,133247.08,133247.08
18257,1119.34,1119.34
18280,378082.65,378082.65
18285,85619.49,85619.49
18286,118909.11,118909.11
18288,450567.52,450567.52
18316,86688.23,86688.23
18340,297819.83,297819.83
18348,196484.63,196484.63
18350,15919.06,15919.06
18351,262844.09,262844.09
18361,473912.86,473912.86
18364,328236.27,328236.27
18369,120314.18,120314.18
18379,477251.89,477251.89
18401,397844.62,397844.62
18407,166972.56,166972.56
18413,67049.14,67049.14
18459,375096.51,375096.51
18467,325448.39,325448.39
18486,223081.74,223081.74
18497,392311.03,392311.03
18513,471481.44,471481.44
18535,407465.21,407465.21
18536,37041.77,37041.77
18565,11756.44,11756.44
18582,39793.86,39793.86
18588,496040.99,496040.99
18630,399649.81,399649.81
18636,460656.19,460656.19
18660,36002.04,36002.04
18671,460800.79,460800.79
18674,345891.09,345891.09
18675,157729.77,157729.77
18706,148177.6,148177.6
18726,73609.77,73609.77
18760,381445.12,381445.12
18764,482592.81,482592.81
18765,206348.78,206348.78
18773,268810.55,268810.55
18794,454088.05,454088.05
18795,293444.03,293444.03
18804,191869.81,191869.81
18808,156106.0,156106.0
18811,196283.56,196283.56
18812,288963.05,288963.05
18835,164712.08,164712.08
18852,142471.68,142471.68
18874,489337.46,244668.73
18887,244216.14,244216.14
18909,488423.48,488423.48
18918,345866.17,345866.17
18929,462381.84,462381.84
18946,445585.93,445585.93
19023,13821.8,13821.8
19026,279122.35,279122.35
19047,403077.93,403077.93
19050,63837.49,63837.49
19056,73492.74,73492.74
19072,211440.04,211440.04
19074,2944.33,2944.33
19110,368595.92,368595.92
19127,460503.54,460503.54
19128,321541.44,160770.72
19143,308587.74,308587.74
19181,284842.59,284842.59
19205,202443.57,202443.57
19237,106973.87,106973.87
19242,477977.34,477977.34
19244,373662.25,373662.25
19250,285373.29,285373.29
19257,471028.71,471028.71
19263,288297.29,288297.29
19265,237478.72,237478.72
19299,320476.16,320476.16
19308,77770.06,77770.06
19340,123866.58,123866.58
19397,485829.59,485829.59
19399,411864.16,411864.16
19414,290178.07,290178.07
19484,279174.49,279174.49
19501,143887.62,143887.62
19514,449966.25,449966.25
19516,424119.7,424119.7
19552,92163.73,92163.73
19554,481824.24,240912.12
19566,53759.7,53759.7
19591,368350.57,368350.57
19620,462965.69,462965.69
19621,116351.54,116351.54
19682,352574.01,352574.01
19688,75447.45,75447.45
19690,354065.27,354065.27
19702,448073.28,448073.28
19725,95190.81,95190.81
19730,798632.26,399316.13
19731,789600.5800000001,394800.29000000004
19740,261839.32,261839.32
19807,251264.26,251264.26
19850,364281.87,364281.87
19878,19842.96,19842.96
19908,54738.15,54738.15
19912,170562.88,170562.88
19992,51085.57,51085.57
20003,490065.76,490065.76
20018,283634.11,283634.11
20023,162141.27,162141.27
20035,253847.39,253847.39
20041,282171.08,282171.08
20063,186446.87,186446.87
20070,271891.65,271891.65
20166,293706.42,293706.42
20167,66797.44,66797.44
20189,271664.39,271664.39
20211,245989.36,245989.36
20213,151343.69,151343.69
20227,464202.73,464202.73
20240,165626.1,165626.1
20318,218703.51,218703.51
20319,143255.72,143255.72
20336,380130.35,380130.35
20341,326572.89,326572.89
20348,329036.32,329036.32
20411,61208.57,61208.57
20414,311715.63,311715.63
20416,331801.77,331801.77
20463,171166.81,171166.81
20487,446292.32,446292.32
20525,349853.0,349853.0
20580,85108.76,85108.76
20588,361280.98,361280.98
20629,211018.78,211018.78
20641,230699.87,230699.87
20642,374068.62,374068.62
20649,260458.51,260458.51
20666,235351.05,235351.05
20688,267156.72,267156.72
20696,471455.55,471455.55
20699,284644.71,284644.71
20746,87517.57,87517.57
20754,27448.86,27448.86
20764,250433.69,250433.69
20783,175675.39,175675.39
20811,138319.68,138319.68
20844,197140.56,197140.56
20876,86423.21,86423.21
20880,353648.85,353648.85
20887,462716.67,462716.67
20921,409380.56,409380.56
20937,97138.16,97138.16
20961,17411.98,17411.98
20974,48462.18,48462.18
20992,239254.96,239254.96
21010,30377.73,30377.73
21019,262709.12,262709.12
21052,185684.48,185684.48
21088,82329.74,82329.74
21140,286817.37,286817.37
21153,168961.58,168961.58
21178,139917.32,139917.32
21181,375651.73,375651.73
21196,62229.05,62229.05
21203,429897.82,429897.82
21234,395121.99,395121.99
21275,293644.3,293644.3
21310,303956.61,303956.61
21321,379751.6,379751.6
21325,237381.49,237381.49
21344,272616.68,272616.68
21365,430643.19,430643.19
21411,170607.47,170607.47
21421,326798.37,326798.37
21441,374313.68,374313.68
21450,366065.03,366065.03
21479,405041.84,405041.84
21486,8208.81,8208.81
21509,342314.41,342314.41
21525,440661.58,440661.58
21527,389518.04,389518.04
21531,426786.05,426786.05
21535,298217.77,298217.77
21543,215687.07,215687.07
21597,279241.22,279241.22
21598,136308.54,136308.54
21612,344325.55,344325.55
21622,112477.77,112477.77
21682,261268.99,261268.99
21684,339957.16,339957.16
21747,459629.05,459629.05
21777,232174.34,232174.34
21825,135032.35,135032.35
21839,112532.35,112532.35
21901,351868.08,351868.08
21918,352912.08999999997,176456.04499999998
21954,473721.22,473721.22
21963,318927.4,318927.4
21976,5641.08,5641.08
21978,485148.41,485148.41
21980,61250.4,61250.4
22005,189047.72,189047.72
22021,19719.93,19719.93
22027,481627.25,481627.25
22028,169669.87,169669.87
22032,235171.5,235171.5
22040,380183.33,380183.33
22041,385219.64,385219.64
22047,91589.74,91589.74
22062,233093.14,233093.14
22070,355512.58,355512.58
22115,330389.31,330389.31
22143,72035.3,72035.3
22145,124924.14,124924.14
22159,442747.7,442747.7
